Species	ID	MaxAge	AllocSeed	LMR	m0	MaxMass	mSeed	Dist	pEstab	Gmax	SLA	palat	memo	RAR	growth	mThres	clonal	propSex	meanSpacerLength	sdSpacerlength	Resshare	AllocSpacer	mSpacer	sens	allocroot	allocshoot	EC50_biomass	slope_biomass	EC50_SEbiomass	slope_SEbiomass	EC50_survival	slope_survival	EC50_establishment	slope_establishment	EC50_sterility	slope_sterility	EC50_seednumber	slope_seednumber	FlowerWeek	DispWeek	GermPeriod
LECAcl3plb	1	100	0.05	0.5	1	5000	1	0.1	0.5	60	0.5	0.25	2	1	0.25	0.2	1	1	17.5	12.5	1	0.05	70	0.830353041295893	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1
LECIcl3plb	2	100	0.05	0.5	1	5000	1	0.1	0.5	60	0.75	0.5	2	1	0.25	0.2	1	1	17.5	12.5	1	0.05	70	0.734635179978795	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1
LSCAplb	3	100	0.05	0.75	1	5000	1	0.1	0.5	60	0.5	0.25	2	1	0.25	0.2	0	0	0	0	0	0	0	0.141047982673626	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1
LSCAcl1plb	4	100	0.05	0.75	1	5000	1	0.1	0.5	60	0.5	0.25	2	1	0.25	0.2	1	1	2.5	2.5	1	0.05	70	0.156533383647911	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1
LSCIcl1plb	5	100	0.05	0.75	1	5000	1	0.1	0.5	60	0.75	0.5	2	1	0.25	0.2	1	1	2.5	2.5	1	0.05	70	0.137753372255247	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1
LSCIcl3plb	6	100	0.05	0.75	1	5000	1	0.1	0.5	60	0.75	0.5	2	1	0.25	0.2	1	1	17.5	12.5	1	0.05	70	0.112653790449258	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1
LSCTcl2plb	7	100	0.05	0.75	1	5000	1	0.1	0.5	60	1	1	2	1	0.25	0.2	1	1	2.5	2.5	0	0.05	70	0.0385193399852142	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1
LSSIcl3plb	8	100	0.05	0.75	1	5000	1	0.1	0.5	20	0.75	0.5	6	1	0.25	0.2	1	1	17.5	12.5	1	0.05	70	0.17752938909689	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1
LSSTcl3plb	9	100	0.05	0.75	1	5000	1	0.1	0.5	20	1	1	6	1	0.25	0.2	1	1	17.5	12.5	1	0.05	70	0.855870495375711	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1
MECIcl3plb	10	100	0.05	0.5	0.3	2000	0.3	0.3	0.5	60	0.75	0.5	2	1	0.25	0.2	1	1	17.5	12.5	1	0.05	70	0.0326223275042139	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1
MECTcl3peb	11	100	0.05	0.5	0.3	2000	0.3	0.3	0.5	60	1	1	2	1	0.25	0.2	1	1	17.5	12.5	1	0.05	70	0.548880235815886	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20	1
